# bestlooking.skin — planned topics, 15 per topic hub (225 total).
#
# Format (one per line; lines starting with # are ignored):
#   category | title | slug | postType
#
#   category  Strapi bls-category slug of a topic hub:
#             By Product:    sunscreen, face-masks, exfoliants, eye-cream,
#                            cleansers, moisturizers, serums
#             By Concern:    sensitive-skin, hyperpigmentation, anti-aging, acne
#             Cross-cutting: korean-skincare, dupes, ingredients, routines
#             (Not the retired format categories or the *-hubs group rows.)
#   postType  informative | how-to-guide | product-review | product-comparison |
#             product-roundup | top-rated | pillar
#
# Run:
#   node generate-bestlooking-post.js --topics topic_bestlooking_skin.txt
#   node generate-bestlooking-post.js --topics topic_bestlooking_skin.txt --count 5
#   node generate-bestlooking-post.js --topics topic_bestlooking_skin.txt \
#     --publishedAt "2026-10-01 08:00" --publish-every 24        # one a day
#
# Titles already in Strapi are skipped, so the file can be re-run safely.
# Written 24 Sep 2026 against the 201 existing bls-posts, avoiding repeats.
# No years in titles or slugs. Site rules apply: no medical claims or promised
# results, brand claims attributed, no invented facts.
#
# SEO pass (24 Sep 2026):
#   - Titles held to ~60 characters so they don't truncate in Google results.
#   - Primary keyword moved to the front; phrasing matched to how people search.
#   - "Best …" wording on every top-rated post so title matches intent.
#   - Topics that duplicated live posts (sitemap check) or each other were swapped.
#   - US spelling throughout, to match the site ("moisturizer", "sensitized").
#
# Order shuffled 24 Sep 2026: interleaved by hub, so every run of 15
# consecutive topics covers all 15 hubs.

# hyperpigmentation | How to Build a Skincare Routine for Hyperpigmentation | hyperpigmentation-skincare-routine | how-to-guide
hyperpigmentation | Post-Inflammatory Hyperpigmentation: Causes and Care Tips | post-inflammatory-hyperpigmentation | informative
anti-aging | How to Care for Your Neck and Décolletage | neck-and-decolletage-care | how-to-guide
exfoliants | Can You Use Retinol With AHAs and BHAs? | retinol-with-aha-bha | informative
face-masks | How to Use a Face Mask Properly: Prep, Timing and Aftercare | how-to-use-face-mask | how-to-guide
eye-cream | Can You Use Face Moisturizer as Eye Cream? | face-moisturizer-as-eye-cream | informative
serums | Serums vs Ampoules vs Essences: What's the Difference? | serums-vs-ampoules-vs-essences | product-comparison
hyperpigmentation | Best Serums for Post-Acne Marks | best-serums-post-acne-marks | top-rated
sensitive-skin | Sensitive Skin in Winter: Wind, Heating and Dryness | sensitive-skin-winter-routine | how-to-guide
dupes | Best Supergoop Unseen Sunscreen Dupes | supergoop-unseen-sunscreen-dupes | product-comparison
ingredients | Is Fragrance in Skincare Bad for Your Skin? | fragrance-in-skincare | informative
moisturizers | Day Cream vs Night Cream: What's the Difference? | day-cream-vs-night-cream | product-comparison
exfoliants | Does Exfoliating Make Your Skin More Sensitive to the Sun? | exfoliation-sun-sensitivity | informative
cleansers | Best Cleansers for Oily Skin | best-cleansers-oily-skin | top-rated
sunscreen | Why Does Sunscreen Sting Your Eyes? How to Avoid It | sunscreen-stings-eyes | informative
routines | Skincare Routine for Your 20s | skincare-routine-20s | how-to-guide
anti-aging | At-Home Microneedling: Is It Worth the Risk? | at-home-microneedling | informative
acne | Hormonal Acne Skincare Routine: How to Build One | hormonal-acne-skincare-routine | how-to-guide
korean-skincare | Best Korean Toner Pads | best-korean-toner-pads | top-rated
moisturizers | CeraVe vs Cetaphil Moisturizing Cream Compared | cerave-vs-cetaphil-moisturizing-cream | product-comparison
hyperpigmentation | Why Iron Oxides in Sunscreen Matter for Dark Spots | iron-oxides-sunscreen-dark-spots | informative
cleansers | Hot vs Cold Water for Washing Your Face: Which Is Better? | hot-vs-cold-water-face-washing | informative
dupes | Best Kiehl's Ultra Facial Cream Dupes | kiehls-ultra-facial-cream-dupes | product-comparison
exfoliants | Best BHA Exfoliants for Blackheads | best-bha-exfoliants-blackheads | top-rated
sensitive-skin | Colloidal Oatmeal for Sensitive Skin: Benefits and Uses | colloidal-oatmeal-sensitive-skin | informative
acne | Blind Pimples: What They Are and How to Care for Them | blind-pimples | how-to-guide
face-masks | Best Calming Face Masks for Redness | best-calming-face-masks-redness | top-rated
anti-aging | Retinol Side Effects: How to Manage Dryness and Peeling | retinol-side-effects-dryness-peeling | how-to-guide
serums | Oil Serums vs Water-Based Serums: How to Use Each | oil-vs-water-based-serums | product-comparison
routines | Skincare Routine After a Facial or Chemical Peel | skincare-after-facial-peel | how-to-guide
eye-cream | Why Does Eye Cream Sting or Make Your Eyes Water? | eye-cream-stinging-eyes | informative
korean-skincare | Best Korean Eye Creams | best-korean-eye-creams | top-rated
ingredients | Zinc Oxide vs Titanium Dioxide: Mineral UV Filters Compared | zinc-oxide-vs-titanium-dioxide | product-comparison
sunscreen | SPF Powder: Can It Replace Your Morning Sunscreen? | spf-powder-guide | informative
anti-aging | Antioxidants in Anti-Aging Skincare: Which Ones Matter | antioxidants-anti-aging-skincare | informative
eye-cream | Can Eye Cream Cause Milia? Causes and How to Avoid Them | can-eye-cream-cause-milia | informative
ingredients | Glycerin in Skincare: Benefits and Why It's Everywhere | glycerin-in-skincare | informative
dupes | Best Augustinus Bader Cream Dupes | augustinus-bader-cream-dupes | product-comparison
exfoliants | Best AHA Serums for Rough, Uneven Texture | best-aha-serums-texture | top-rated
sunscreen | Why Does My Sunscreen Pill? Causes and How to Stop It | why-sunscreen-pills | how-to-guide
hyperpigmentation | Hyperpigmentation on Dark Skin: Gentle Ways to Even Tone | hyperpigmentation-dark-skin | informative
serums | Growth Factor Serums: What They Are and Who They Suit | growth-factor-serums-explained | informative
cleansers | Best Gentle Cleansers for Sensitive Skin | best-cleansers-sensitive-skin | top-rated
face-masks | DIY Face Masks: Kitchen Ingredients to Keep Off Your Face | diy-face-mask-ingredients-to-avoid | informative
korean-skincare | Korean Skincare Routine for Oily Skin | korean-skincare-routine-oily-skin | how-to-guide
routines | Skin Cycling: What It Is and How to Try It | skin-cycling-guide | how-to-guide
moisturizers | Best Moisturizers With Niacinamide | best-niacinamide-moisturizers | top-rated
acne | Common Acne Triggers: Why You Might Be Breaking Out | common-acne-triggers | informative
sensitive-skin | Sensitive vs Sensitized Skin: How to Tell the Difference | sensitive-vs-sensitized-skin | informative
hyperpigmentation | Best Brightening Serums for Uneven Skin Tone | best-brightening-serums-uneven-tone | top-rated
exfoliants | Skin Purging vs Breakouts: How to Tell the Difference | skin-purging-vs-breakouts | informative
sensitive-skin | Best Moisturizers for Sensitive, Reactive Skin | best-moisturizers-sensitive-skin | top-rated
eye-cream | Best Eye Creams for Puffiness | best-eye-creams-puffiness | top-rated
moisturizers | How to Choose a Lightweight Moisturizer for Oily Skin | moisturizer-for-oily-skin-guide | how-to-guide
acne | Comedogenic Ingredients: What the Ratings Really Mean | comedogenic-ingredients | informative
cleansers | Low-pH Cleansers: Why Your Cleanser's pH Matters | low-ph-cleansers-explained | informative
face-masks | Hydrogel vs Sheet Masks: What's the Difference? | hydrogel-vs-sheet-masks | product-comparison
anti-aging | Best Anti-Aging Hand Creams | best-anti-aging-hand-creams | top-rated
serums | How to Layer Serums: The Right Order by Texture | how-to-layer-serums | how-to-guide
korean-skincare | Korean Skincare Ingredients Explained: Rice, Ginseng, Mugwort | korean-skincare-ingredients-explained | informative
dupes | How to Read an Ingredient List to Spot a True Dupe | how-to-spot-a-true-dupe | how-to-guide
sunscreen | Do You Need Sunscreen Indoors or on Cloudy Days? | sunscreen-indoors-cloudy-days | informative
routines | Simple Skincare Routine for Men: A Beginner's Guide | simple-skincare-routine-men | how-to-guide
ingredients | Adenosine in Skincare: What It Does | adenosine-in-skincare | informative
cleansers | Are Facial Cleansing Brushes Good for Your Skin? | are-facial-cleansing-brushes-good | informative
dupes | Best Paula's Choice BHA Liquid Exfoliant Dupes | paulas-choice-bha-dupes | product-comparison
exfoliants | Hydrating vs Exfoliating Toner: Which Do You Need? | hydrating-vs-exfoliating-toners | product-comparison
eye-cream | Best Eye Creams for Fine Lines and Crow's Feet | best-eye-creams-fine-lines | top-rated
korean-skincare | Snail Mucin: Benefits and Who It Suits | snail-mucin-benefits | informative
moisturizers | Humectants vs Emollients vs Occlusives: How Moisturizers Work | humectants-emollients-occlusives | informative
acne | Closed Comedones: What They Are and How to Care for Them | closed-comedones-guide | informative
hyperpigmentation | Licorice Root Extract for Dark Spots: What It Does | licorice-root-extract-dark-spots | informative
serums | Hyaluronic Acid vs Glycerin Serums: Which Hydrates Better? | hyaluronic-acid-vs-glycerin-serums | product-comparison
ingredients | Allantoin for Skin: Benefits and Uses | allantoin-for-skin | informative
anti-aging | Best Night Creams for Firmer-Looking Skin | best-night-creams-firmer-skin | top-rated
sunscreen | Broad-Spectrum Sunscreen: What UVA and UVB Protection Means | broad-spectrum-uva-uvb-explained | informative
face-masks | Are LED Face Masks Worth It? What They Can and Can't Do | are-led-face-masks-worth-it | informative
sensitive-skin | Allergic Reaction vs Irritation From Skincare: How to Tell | skincare-allergy-vs-irritation | informative
routines | Teen Skincare Routine: Simple Steps for Young Skin | teen-skincare-routine | how-to-guide
exfoliants | Over-Exfoliated Skin: Signs and How to Help It Recover | over-exfoliated-skin-signs | how-to-guide
dupes | Best Glow Recipe Dew Drops Dupes for Less | glow-recipe-dew-drops-dupes | product-comparison
cleansers | How to Tell If Your Cleanser Is Too Harsh | signs-cleanser-too-harsh | how-to-guide
serums | Best Peptide Serums | best-peptide-serums | top-rated
ingredients | Urea in Skincare: Benefits, Percentages and Who It Suits | urea-in-skincare | informative
anti-aging | Best Retinal (Retinaldehyde) Serums | best-retinal-serums | top-rated
face-masks | Sulfur Face Masks for Breakouts: How to Use Them | sulfur-face-mask-guide | how-to-guide
acne | Can Hair Products Cause Breakouts? Shampoo, Oils and Acne | hair-products-breakouts | informative
hyperpigmentation | Alpha Arbutin: How to Use It for Dark Spots | alpha-arbutin-dark-spots | how-to-guide
moisturizers | Best Moisturizers for Acne-Prone Skin | best-moisturizers-acne-prone-skin | top-rated
sunscreen | Best Sunscreens for Dark Skin With No White Cast | best-sunscreens-dark-skin-no-white-cast | top-rated
eye-cream | Drugstore vs Luxury Eye Creams: Is the Price Worth It? | drugstore-vs-luxury-eye-creams | product-comparison
korean-skincare | Korean Skincare Routine for Dry Skin | korean-skincare-routine-dry-skin | how-to-guide
sensitive-skin | Can You Use Retinol With Sensitive Skin? How to Start Gently | retinol-for-sensitive-skin | how-to-guide
routines | Skincare Routine for Oily Skin: Morning and Night Steps | skincare-routine-oily-skin | how-to-guide
anti-aging | Photoaging Explained: How Sun Exposure Ages Skin | photoaging-explained | informative
face-masks | Best Face Masks for Visible Pores | best-face-masks-visible-pores | top-rated
ingredients | Panthenol (Vitamin B5) for Skin: Benefits and How to Use It | panthenol-vitamin-b5-skin | informative
routines | Pre-Event Skincare: A Week-by-Week Prep Routine | pre-event-skincare-routine | how-to-guide
sensitive-skin | Hypoallergenic Skincare: What the Label Really Means | hypoallergenic-label-meaning | informative
serums | Best Serums for Dull Skin | best-serums-dull-skin | top-rated
korean-skincare | Propolis in Korean Skincare: Benefits and Who Should Avoid It | propolis-skincare | informative
exfoliants | Can You Exfoliate Dry or Sensitive Skin? | exfoliating-dry-sensitive-skin | informative
hyperpigmentation | Cysteamine Cream for Dark Spots: What to Know | cysteamine-cream-dark-spots | informative
moisturizers | Can You Over-Moisturize Your Skin? | can-you-over-moisturize | informative
dupes | Best Sunday Riley Good Genes Dupes | sunday-riley-good-genes-dupes | product-comparison
eye-cream | Vitamin C Eye Cream: Benefits and Who It Suits | vitamin-c-eye-cream | informative
cleansers | Are Makeup Wipes Bad for Your Skin? | are-makeup-wipes-bad | informative
sunscreen | What Does PA++++ Mean on Sunscreen? UVA Ratings Explained | pa-rating-sunscreen-explained | informative
acne | Adapalene vs Retinol for Acne: What's the Difference? | adapalene-vs-retinol | product-comparison
hyperpigmentation | Niacinamide vs Tranexamic Acid for Dark Spots | niacinamide-vs-tranexamic-acid | product-comparison
face-masks | Charcoal Face Masks: What They Can and Can't Do for Pores | charcoal-face-masks-pores | informative
anti-aging | Anti-Aging Skincare Routine for Men | anti-aging-routine-men | how-to-guide
cleansers | Gel vs Cream vs Foaming Cleansers: How to Choose | gel-vs-cream-vs-foaming-cleansers | product-comparison
dupes | Best Clinique Moisture Surge Dupes | clinique-moisture-surge-dupes | product-comparison
korean-skincare | Glass Skin Routine: What It Is and How to Get the Look | glass-skin-routine | how-to-guide
sunscreen | Sunscreen Spray vs Lotion: Which Gives Better Coverage? | sunscreen-spray-vs-lotion | product-comparison
ingredients | Silicones in Skincare: Are They Bad for Your Skin? | silicones-in-skincare | informative
sensitive-skin | Best Makeup Removers for Sensitive Skin | best-makeup-removers-sensitive-skin | top-rated
serums | Has Your Vitamin C Serum Oxidized? Signs It's Gone Bad | vitamin-c-serum-oxidized | informative
exfoliants | Exfoliate in the Morning or at Night? When to Use Acids | exfoliate-morning-or-night | how-to-guide
routines | Pregnancy Skincare Routine: Ingredients to Check First | pregnancy-skincare-routine | how-to-guide
moisturizers | Moisturizer With SPF vs Sunscreen: Is One Enough? | moisturizer-spf-vs-sunscreen | product-comparison
acne | Can Diet Affect Acne? What the Research Actually Says | diet-and-acne-research | informative
eye-cream | How to Apply Eye Cream Correctly,generate-bestlooking-post.js   Step by Step | how-to-apply-eye-cream | how-to-guide
moisturizers | Slugging: What It Is and Who Should Try It | slugging-skincare-guide | how-to-guide
dupes | Best La Mer Dupes: Affordable Creams With Similar Ingredients | la-mer-dupes | product-comparison
routines | Skincare Routine for Large Pores | skincare-routine-large-pores | how-to-guide
hyperpigmentation | Dark Spots on Knees, Elbows and Underarms: What Helps | body-dark-spots-knees-elbows-underarms | informative
acne | Back and Body Acne: How to Build a Routine | body-acne-routine | how-to-guide
anti-aging | Best Neck Creams for Firmer-Looking Skin | best-neck-creams | top-rated
serums | Azelaic Acid Serum: Benefits and How to Use It | azelaic-acid-serum-guide | how-to-guide
sunscreen | How Much Sunscreen Should You Actually Use on Your Face? | how-much-sunscreen-face | how-to-guide
face-masks | Best Overnight Sleeping Masks for Dehydrated Skin | best-overnight-sleeping-masks | top-rated
sensitive-skin | Hard Water and Sensitive Skin: Does Your Tap Water Matter? | hard-water-sensitive-skin | informative
korean-skincare | Best Korean Serums and Ampoules for Beginners | best-korean-serums-beginners | top-rated
ingredients | Vitamin E for Skin: Benefits and Who Should Avoid It | vitamin-e-for-skin | informative
cleansers | The 60-Second Face Washing Rule: Is It Worth Trying? | 60-second-face-washing-rule | informative
exfoliants | Mandelic Acid for Skin: Benefits and Who It Suits | mandelic-acid-for-skin | informative
eye-cream | Best Eye Creams for Sensitive Eyes | best-eye-creams-sensitive-eyes | top-rated
serums | Best Vitamin C Serums for Sensitive Skin | best-vitamin-c-serums-sensitive-skin | top-rated
eye-cream | Best Eye Creams for Mature Skin | best-eye-creams-mature-skin | top-rated
face-masks | Enzyme vs AHA Peel Masks: Which Exfoliating Mask Suits You? | enzyme-vs-acid-peel-masks | product-comparison
moisturizers | Best Gel Moisturizers for Hot, Humid Weather | best-gel-moisturizers-humid-weather | top-rated
exfoliants | Glycolic Acid vs Lactic Acid: Which AHA Suits Your Skin? | glycolic-vs-lactic-acid | product-comparison
sensitive-skin | Best Gentle Exfoliants for Sensitive Skin | best-exfoliants-sensitive-skin | top-rated
korean-skincare | Beauty of Joseon vs Round Lab Sunscreen Compared | beauty-of-joseon-vs-round-lab-sunscreen | product-comparison
acne | Should You Pop a Pimple? What to Do Instead | should-you-pop-pimples | informative
anti-aging | Bakuchiol vs Retinol: Is the Plant Alternative as Good? | bakuchiol-vs-retinol | product-comparison
sunscreen | Best Sunscreen Sticks for Easy Reapplication | best-sunscreen-sticks | top-rated
cleansers | Best Cleansers for Dry, Dehydrated Skin | best-cleansers-dry-skin | top-rated
routines | Skincare Routine for Dry Skin: Morning and Night Steps | skincare-routine-dry-skin | how-to-guide
ingredients | Shea Butter for Face: Benefits and Who Should Avoid It | shea-butter-for-face | informative
hyperpigmentation | Does Sunscreen Help Fade Dark Spots? | does-sunscreen-help-dark-spots | informative
dupes | Best Laneige Lip Sleeping Mask Dupes | laneige-lip-sleeping-mask-dupes | product-comparison
hyperpigmentation | Hydroquinone Alternatives: Gentler Options for Dark Spots | hydroquinone-alternatives | informative
sensitive-skin | Best Soothing Serums for Redness-Prone Skin | best-soothing-serums-redness | top-rated
sunscreen | Best Lightweight Sunscreens for Everyday Wear | best-lightweight-daily-sunscreens | top-rated
acne | How to Choose Non-Comedogenic Makeup for Acne-Prone Skin | non-comedogenic-makeup | how-to-guide
face-masks | Are Peel-Off Face Masks Worth It or Too Harsh? | are-peel-off-masks-worth-it | informative
anti-aging | Anti-Aging Skincare Routine for Your 40s and 50s | anti-aging-skincare-routine-40s-50s | how-to-guide
serums | How Long to Wait Between Skincare Layers | how-long-wait-between-skincare-layers | informative
moisturizers | Face Oil vs Moisturizer: Do You Need Both? | face-oil-vs-moisturizer | product-comparison
dupes | Best Dermalogica Daily Microfoliant Dupes | dermalogica-daily-microfoliant-dupes | product-comparison
exfoliants | Exfoliating Pads vs Liquid Exfoliants: Which Is Better? | exfoliating-pads-vs-liquid-exfoliants | product-comparison
routines | Travel Skincare Routine: What to Pack and How to Adapt | travel-skincare-routine | how-to-guide
eye-cream | Caffeine vs Peptide Eye Cream for Puffiness and Fine Lines | caffeine-vs-peptide-eye-cream | product-comparison
korean-skincare | Best Korean Moisturizers for Oily Skin | best-korean-moisturizers-oily-skin | top-rated
cleansers | How to Wash Your Face Properly, Step by Step | how-to-wash-your-face | how-to-guide
ingredients | Parabens in Skincare: What the Research Says | parabens-in-skincare | informative
